CF_ITEMID,CF_ITEMNAME,CF_QUANTITY,CF_UNITNAME,CF_ITEMPRICELEVEL_PRICE,CF_SYSITEMGROUPL1ID,CF_SYSITEMGROUPL2ID,CF_SYSITEMGROUPL3ID,CF_SYSITEMGROUPL4ID,CF_SYSITEMGROUPL5ID,CF_ITEMGROUPL1_GROUPNAME,CF_ITEMGROUPL2_GROUPNAME,CF_ITEMGROUPL3_GROUPNAME,CF_ITEMGROUPL4_GROUPNAME,CF_ITEMGROUPL5_GROUPNAME,CF_ITEMGROUPL1_ORDINARY,CF_ITEMGROUPL2_ORDINARY,CF_ITEMGROUPL3_ORDINARY,CF_ITEMGROUPL4_ORDINARY,CF_ITEMGROUPL5_ORDINARY,CF_COMPANY,CF_BRANCHNAME
107-020-21150,น๊อต แหวน ตัวยาว L47 21x1.5,80,ตัว,70,4,10,,,,อะไหล่ หมวด 100 (อะไหล่ทั่วไป),107-น๊อตล้อตัวเมีย,,,,5,7,,,,บริษัท เอเซียไทร์ (ประเทศไทย) จำกัด,00001
107-021-19125,น๊อต หัวเปิด ไม่มีบ่า (สีทอง) 19x1.25,95,ตัว,15,4,10,,,,อะไหล่ หมวด 100 (อะไหล่ทั่วไป),107-น๊อตล้อตัวเมีย,,,,5,7,,,,บริษัท เอเซียไทร์ (ประเทศไทย) จำกัด,00001
107-022-19150,น๊อต หัวเปิด ไม่มีบ่า (สีทอง) 19x1.5,99,ตัว,15,4,10,,,,อะไหล่ หมวด 100 (อะไหล่ทั่วไป),107-น๊อตล้อตัวเมีย,,,,5,7,,,,บริษัท เอเซียไทร์ (ประเทศไทย) จำกัด,00001
107-023-21125,น๊อต หัวเปิด ไม่มีบ่า (สีทอง) 21x1.25,98,ตัว,15,4,10,,,,อะไหล่ หมวด 100 (อะไหล่ทั่วไป),107-น๊อตล้อตัวเมีย,,,,5,7,,,,บริษัท เอเซียไทร์ (ประเทศไทย) จำกัด,00001
107-024-21150,น๊อต หัวเปิด ไม่มีบ่า (สีทอง) 21x1.5,98,ตัว,15,4,10,,,,อะไหล่ หมวด 100 (อะไหล่ทั่วไป),107-น๊อตล้อตัวเมีย,,,,5,7,,,,บริษัท เอเซียไทร์ (ประเทศไทย) จำกัด,00001
107-025-19150,น๊อต หัวเปิด มีบ่า (โครเมียม) อย่างดี 19X1.5,100,ตัว,50,4,10,,,,อะไหล่ หมวด 100 (อะไหล่ทั่วไป),107-น๊อตล้อตัวเมีย,,,,5,7,,,,บริษัท เอเซียไทร์ (ประเทศไทย) จำกัด,00001
107-032-17150,น๊อต Project U 17X1.5,11,ชุด,700,4,10,,,,อะไหล่ หมวด 100 (อะไหล่ทั่วไป),107-น๊อตล้อตัวเมีย,,,,5,7,,,,บริษัท เอเซียไทร์ (ประเทศไทย) จำกัด,00001
107-033-17125,น๊อต Project U 17x1.25,3,ชุด,700,4,10,,,,อะไหล่ หมวด 100 (อะไหล่ทั่วไป),107-น๊อตล้อตัวเมีย,,,,5,7,,,,บริษัท เอเซียไทร์ (ประเทศไทย) จำกัด,00001
108-001-150,"แกนสกรูล้อ MTX, VIGO, TIGER, REVO หน้า",98,ตัว,50,4,11,,,,อะไหล่ หมวด 100 (อะไหล่ทั่วไป),108-น๊อตล้อตัวผู้ (แกนสกรูล้อ),,,,5,8,,,,บริษัท เอเซียไทร์ (ประเทศไทย) จำกัด,00001
108-002-150,"แกนสกรูล้อ TIGER 4WD ตัวยาว เกลียว 1.5, ยาว 2 นิ้ว",50,ตัว,50,4,11,,,,อะไหล่ หมวด 100 (อะไหล่ทั่วไป),108-น๊อตล้อตัวผู้ (แกนสกรูล้อ),,,,5,8,,,,บริษัท เอเซียไทร์ (ประเทศไทย) จำกัด,00001
